title,name,value
22.12.2022,3 kk (tod.pv/360),"2,125"
22.12.2022,6 kk (tod.pv/360),"2,696"
22.12.2022,12 kk (tod.pv/360),"3,192"
21.12.2022,Eonia (tod.pv/360),
21.12.2022,1 kk (tod.pv/360),"1,913"
21.12.2022,3 kk (tod.pv/360),"2,102"
21.12.2022,6 kk (tod.pv/360),"2,645"
21.12.2022,12 kk (tod.pv/360),"3,176"
20.12.2022,Eonia (tod.pv/360),
20.12.2022,1 kk (tod.pv/360),"1,898"
20.12.2022,3 kk (tod.pv/360),"2,081"
20.12.2022,6 kk (tod.pv/360),"2,625"
20.12.2022,12 kk (tod.pv/360),"3,118"
19.12.2022,Eonia (tod.pv/360),
19.12.2022,1 kk (tod.pv/360),"1,797"
19.12.2022,3 kk (tod.pv/360),"2,063"
19.12.2022,6 kk (tod.pv/360),"2,585"
19.12.2022,12 kk (tod.pv/360),"3,057"
16.12.2022,Eonia (tod.pv/360),
16.12.2022,1 kk (tod.pv/360),"1,748"
16.12.2022,3 kk (tod.pv/360),"2,047"
16.12.2022,6 kk (tod.pv/360),"2,569"
16.12.2022,12 kk (tod.pv/360),"2,993"
15.12.2022,Eonia (tod.pv/360),
15.12.2022,1 kk (tod.pv/360),"1,691"
15.12.2022,3 kk (tod.pv/360),"2,062"
15.12.2022,6 kk (tod.pv/360),"2,493"
15.12.2022,12 kk (tod.pv/360),"2,867"
14.12.2022,Eonia (tod.pv/360),
14.12.2022,1 kk (tod.pv/360),"1,697"
14.12.2022,3 kk (tod.pv/360),"2,081"
14.12.2022,6 kk (tod.pv/360),"2,519"
14.12.2022,12 kk (tod.pv/360),"2,871"
13.12.2022,Eonia (tod.pv/360),
13.12.2022,1 kk (tod.pv/360),"1,686"
13.12.2022,3 kk (tod.pv/360),"2,046"
13.12.2022,6 kk (tod.pv/360),"2,479"
13.12.2022,12 kk (tod.pv/360),"2,873"
12.12.2022,Eonia (tod.pv/360),
12.12.2022,1 kk (tod.pv/360),"1,622"
12.12.2022,3 kk (tod.pv/360),"2,052"
12.12.2022,6 kk (tod.pv/360),"2,527"
12.12.2022,12 kk (tod.pv/360),"2,880"
9.12.2022,Eonia (tod.pv/360),
9.12.2022,1 kk (tod.pv/360),"1,605"
9.12.2022,3 kk (tod.pv/360),"2,005"
9.12.2022,6 kk (tod.pv/360),"2,466"
9.12.2022,12 kk (tod.pv/360),"2,861"
8.12.2022,Eonia (tod.pv/360),
8.12.2022,1 kk (tod.pv/360),"1,538"
8.12.2022,3 kk (tod.pv/360),"1,990"
8.12.2022,6 kk (tod.pv/360),"2,456"
8.12.2022,12 kk (tod.pv/360),"2,858"
7.12.2022,Eonia (tod.pv/360),
7.12.2022,1 kk (tod.pv/360),"1,552"
7.12.2022,3 kk (tod.pv/360),"1,977"
7.12.2022,6 kk (tod.pv/360),"2,442"
7.12.2022,12 kk (tod.pv/360),"2,864"
6.12.2022,Eonia (tod.pv/360),
6.12.2022,1 kk (tod.pv/360),"1,519"
6.12.2022,3 kk (tod.pv/360),"1,993"
6.12.2022,6 kk (tod.pv/360),"2,443"
6.12.2022,12 kk (tod.pv/360),"2,870"
5.12.2022,Eonia (tod.pv/360),
5.12.2022,1 kk (tod.pv/360),"1,523"
5.12.2022,3 kk (tod.pv/360),"1,975"
5.12.2022,6 kk (tod.pv/360),"2,436"
5.12.2022,12 kk (tod.pv/360),"2,841"
2.12.2022,Eonia (tod.pv/360),
2.12.2022,1 kk (tod.pv/360),"1,514"
2.12.2022,3 kk (tod.pv/360),"1,975"
2.12.2022,6 kk (tod.pv/360),"2,406"
2.12.2022,12 kk (tod.pv/360),"2,811"
1.12.2022,Eonia (tod.pv/360),
1.12.2022,1 kk (tod.pv/360),"1,526"
1.12.2022,3 kk (tod.pv/360),"1,972"
1.12.2022,6 kk (tod.pv/360),"2,405"
1.12.2022,12 kk (tod.pv/360),"2,842"
30.11.2022,Eonia (tod.pv/360),
30.11.2022,1 kk (tod.pv/360),"1,512"
30.11.2022,3 kk (tod.pv/360),"1,973"
30.11.2022,6 kk (tod.pv/360),"2,414"
30.11.2022,12 kk (tod.pv/360),"2,830"
29.11.2022,Eonia (tod.pv/360),
29.11.2022,1 kk (tod.pv/360),"1,497"
29.11.2022,3 kk (tod.pv/360),"1,984"
29.11.2022,6 kk (tod.pv/360),"2,442"
29.11.2022,12 kk (tod.pv/360),"2,892"
28.11.2022,Eonia (tod.pv/360),
28.11.2022,1 kk (tod.pv/360),"1,492"
28.11.2022,3 kk (tod.pv/360),"1,954"
28.11.2022,6 kk (tod.pv/360),"2,436"
28.11.2022,12 kk (tod.pv/360),"2,892"
25.11.2022,Eonia (tod.pv/360),
25.11.2022,1 kk (tod.pv/360),"1,476"
25.11.2022,3 kk (tod.pv/360),"1,922"
25.11.2022,6 kk (tod.pv/360),"2,374"
25.11.2022,12 kk (tod.pv/360),"2,860"
24.11.2022,Eonia (tod.pv/360),
24.11.2022,1 kk (tod.pv/360),"1,462"
24.11.2022,3 kk (tod.pv/360),"1,908"
24.11.2022,6 kk (tod.pv/360),"2,368"
24.11.2022,12 kk (tod.pv/360),"2,879"
